date,target,model,forecast
2025-02-10,daily_revenue,ARIMA,35779.07204101323
2025-02-11,daily_revenue,ARIMA,35727.78314649819
2025-02-12,daily_revenue,ARIMA,35679.64052478969
2025-02-13,daily_revenue,ARIMA,35634.45117050779
2025-02-14,daily_revenue,ARIMA,35592.033918020374
2025-02-15,daily_revenue,ARIMA,35552.218715144125
2025-02-16,daily_revenue,ARIMA,35514.84594139958
2025-02-17,daily_revenue,ARIMA,35479.76576808734
2025-02-18,daily_revenue,ARIMA,35446.83755761978
2025-02-19,daily_revenue,ARIMA,35415.92929970028
2025-02-20,daily_revenue,ARIMA,35386.91708208949
2025-02-21,daily_revenue,ARIMA,35359.68459383706
2025-02-22,daily_revenue,ARIMA,35334.122658987144
2025-02-23,daily_revenue,ARIMA,35310.12879888833
2025-02-24,daily_revenue,ARIMA,35287.606821353314
2025-02-25,daily_revenue,ARIMA,35266.46643502118
2025-02-26,daily_revenue,ARIMA,35246.622887376376
2025-02-27,daily_revenue,ARIMA,35227.99662497295
2025-02-28,daily_revenue,ARIMA,35210.51297450222
2025-03-01,daily_revenue,ARIMA,35194.10184342493
2025-03-02,daily_revenue,ARIMA,35178.69743896791
2025-03-03,daily_revenue,ARIMA,35164.2380043587
2025-03-04,daily_revenue,ARIMA,35150.66557124055
2025-03-05,daily_revenue,ARIMA,35137.92572727531
2025-03-06,daily_revenue,ARIMA,35125.967398002605
2025-03-07,daily_revenue,ARIMA,35114.742642080586
2025-03-08,daily_revenue,ARIMA,35104.206459087494
2025-03-09,daily_revenue,ARIMA,35094.31660911346
2025-03-10,daily_revenue,ARIMA,35085.0334434193
2025-03-11,daily_revenue,ARIMA,35076.31974548337
2025-02-10,daily_orders,ARIMA,135.61019894316158
2025-02-11,daily_orders,ARIMA,137.56238197726313
2025-02-12,daily_orders,ARIMA,135.70215878257426
2025-02-13,daily_orders,ARIMA,137.4747540124324
2025-02-14,daily_orders,ARIMA,135.78565893078473
2025-02-15,daily_orders,ARIMA,137.3951872352667
2025-02-16,daily_orders,ARIMA,135.86147762289752
2025-02-17,daily_orders,ARIMA,137.32294007032598
2025-02-18,daily_orders,ARIMA,135.93032150158385
2025-02-19,daily_orders,ARIMA,137.2573391621593
2025-02-20,daily_orders,ARIMA,135.99283220310753
2025-02-21,daily_orders,ARIMA,137.19777309952104
2025-02-22,daily_orders,ARIMA,136.04959233748036
2025-02-23,daily_orders,ARIMA,137.14368671691778
2025-02-24,daily_orders,ARIMA,136.10113091848316
2025-02-25,daily_orders,ARIMA,137.09457592037458
2025-02-26,daily_orders,ARIMA,136.14792829416126
2025-02-27,daily_orders,ARIMA,137.04998298919637
2025-02-28,daily_orders,ARIMA,136.1904206237471
2025-03-01,daily_orders,ARIMA,137.0094923099357
2025-03-02,daily_orders,ARIMA,136.22900394273594
2025-03-03,daily_orders,ARIMA,136.9727265028073
2025-03-04,daily_orders,ARIMA,136.26403785400197
2025-03-05,daily_orders,ARIMA,136.93934290444622
2025-03-06,daily_orders,ARIMA,136.29584887935596
2025-03-07,daily_orders,ARIMA,136.90903037422922
2025-03-08,daily_orders,ARIMA,136.32473350278235
2025-03-09,daily_orders,ARIMA,136.88150639439283
2025-03-10,daily_orders,ARIMA,136.35096093371862
2025-03-11,daily_orders,ARIMA,136.8565144369214
