target,model,MAE,MSE,RMSE,MAPE
daily_orders,Lasso,10.09894899917011,161.50553659171183,12.580004882923705,7.626157169562396
daily_orders,Ridge,10.127361815645573,163.39247726915332,12.64770855491888,7.654068463799367
daily_orders,LinearRegression,10.127927797402206,163.4950182683151,12.651407291912236,7.654634401402295
daily_orders,RandomForest,10.377590301277232,171.0715273330355,12.998611483786346,7.893479997229149
daily_orders,LightGBM,10.355824900407677,176.8773853160694,13.15889434080678,7.737704634316845
daily_orders,XGBoost,11.97319098578559,241.5527726892175,15.393427530798576,9.091280636453744
daily_revenue,Ridge,2833.3050117098232,12025315.429300094,3448.662370212974,8.43434595656894
daily_revenue,Lasso,2833.9760781832624,12028941.92737706,3449.1995521011136,8.436738910649872
daily_revenue,LinearRegression,2833.9889011410305,12029099.72317864,3449.220632945641,8.436801374673271
daily_revenue,RandomForest,2853.838210975431,12032031.693809321,3450.8899257475828,8.48318736908474
daily_revenue,LightGBM,2979.67787902081,14173787.417246051,3697.19524174407,8.711255803164994
daily_revenue,XGBoost,3353.932986979167,16955173.96935485,4099.1078818534015,10.001120265017134
